,string_X_train,Y_label,EXPNO,from,predict,class,預測部門代號
765,1 GROUP II 500N  BASE OIL 500N    QUANTITY 900MT 10PCT   PACKING IN BULK   ORIGIN TAIWAN2 GROUP II 500N BASE OIL 500N   QUANTITY 100MT 10PCT   PACKING IN BULK   ORIGIN TAIWANPRICING      500N      UNIT PRICE EQUALS ICIS PRICING GII 500N FOB NE ASIA      MEAN PLUS USD35MTTHE ICIS PRICING QUOTATIONS ARE THE AVERAGE OF 2 LATESTEFFECTIVE WEEKS PRECEDING THE BL DATE AS PUBLISHED IN THEICIS PRICING BASE OILS ASIA PACIFIC REPORTTHE WEEK DEFINITION IS FROM SUNDAY 0000 HRS TO THE COMINGSATURDAY 2359 HRS THE EFFECTIVE WEEK IN PRICING MEANSTHERE IS ICIS QUOTATION PUBLISHED DURING THIS WEEKTHE WEEK WHERE BL DATE LIES IN IS EXCLUDED IN CASE THERE ISNO ICIS QUOTATIONS PUBLISHED DURING THIS WEEK THEN THE LATESTEFFECTIVE ICIS QUOTATION IS APPLICABLEANY PUBLISHED CORRECTION TO ANY OF THE RELEVANT QUOTATIONSSHALL BE TAKEN INTO ACCOUNTPRICE TERMS FOB MAILIAO PORT TAIWAN,BASE OIL 500N,61,20210406.xlsx,['BASE OIL 500N'],rule,60
766,1 GROUP II 500N  BASE OIL 500N    QUANTITY 900MT 10PCT   PACKING IN BULK   ORIGIN TAIWAN2 GROUP II 500N BASE OIL 500N   QUANTITY 100MT 10PCT   PACKING IN BULK   ORIGIN TAIWANPRICING      500N      UNIT PRICE EQUALS ICIS PRICING GII 500N FOB NE ASIA      MEAN PLUS USD35MTTHE ICIS PRICING QUOTATIONS ARE THE AVERAGE OF 2 LATESTEFFECTIVE WEEKS PRECEDING THE BL DATE AS PUBLISHED IN THEICIS PRICING BASE OILS ASIA PACIFIC REPORTTHE WEEK DEFINITION IS FROM SUNDAY 0000 HRS TO THE COMINGSATURDAY 2359 HRS THE EFFECTIVE WEEK IN PRICING MEANSTHERE IS ICIS QUOTATION PUBLISHED DURING THIS WEEKTHE WEEK WHERE BL DATE LIES IN IS EXCLUDED IN CASE THERE ISNO ICIS QUOTATIONS PUBLISHED DURING THIS WEEK THEN THE LATESTEFFECTIVE ICIS QUOTATION IS APPLICABLEANY PUBLISHED CORRECTION TO ANY OF THE RELEVANT QUOTATIONSSHALL BE TAKEN INTO ACCOUNTPRICE TERMS FOB MAILIAO PORT TAIWAN,BASE OIL 500N,61,20210406.xlsx,['BASE OIL 500N'],rule,60
767,COMMODITY EVA  TAISOX 7470M QUANTITY1 2500MTUNIT PRICE USD262500MT CIF XIAMEN PORT CHINAAMOUNT USD 6562500CONTRACT NO H0QX58PACKAGE 25KG BAG WITHOUT PALLETORIGIN TAIWAN,TAISOX 7470M,18,20210406.xlsx,"[' TAISOX ', ' EVA ', 'TAISOX 7470M']",rule,18
770,EVA  TAISOX 7470M QUANTITY 10000MTS      UNIT PRICE USD262500MTEVA TAISOX 7350MQUANTITY 10000MTS      UNIT PRICE USD255500MTPRICE TERM CIF HUANGPU PORT CHINA,TAISOX 7470M,18,20210406.xlsx,"['TAISOX 7350M', 'EVA TAISOX 7350', 'TAISOX 7470M']",rule,18
771,EVA  TAISOX 7470M QUANTITY 10000MTS      UNIT PRICE USD262500MTEVA TAISOX 7350MQUANTITY 10000MTS      UNIT PRICE USD255500MTPRICE TERM CIF HUANGPU PORT CHINA,TAISOX 7470M,18,20210406.xlsx,"['TAISOX 7350M', 'EVA TAISOX 7350', 'TAISOX 7470M']",rule,18
772,EVA  TAISOX 7470M QUANTITY 10000MTS      UNIT PRICE USD262500MTEVA TAISOX 7350MQUANTITY 10000MTS      UNIT PRICE USD255500MTPRICE TERM CIF HUANGPU PORT CHINA,TAISOX 7470M,18,20210406.xlsx,"['TAISOX 7350M', 'EVA TAISOX 7350', 'TAISOX 7470M']",rule,18
779,1 COMMODITY EVA TAISOX 7350MQUANTITY 10000MT  UNIT PRICE USD 255500MT2 COMMODITY EVA  TAISOX 7470M QUANTITY 5000MT   UNIT PRICE USD 262500MTORIGIN TAIWANTOTAL AMOUNT USD38675000 CIF HUANGPU OLD PORT CHINAPACKING 25KG BAG WITHOUT PALLET,TAISOX 7470M,18,20210406.xlsx,"['TAISOX 7350M', 'EVA TAISOX 7350', ' EVA ', 'TAISOX 7470M']",rule,18
780,1 COMMODITY EVA TAISOX 7350MQUANTITY 10000MT  UNIT PRICE USD 255500MT2 COMMODITY EVA  TAISOX 7470M QUANTITY 5000MT   UNIT PRICE USD 262500MTORIGIN TAIWANTOTAL AMOUNT USD38675000 CIF HUANGPU OLD PORT CHINAPACKING 25KG BAG WITHOUT PALLET,TAISOX 7470M,18,20210406.xlsx,"['TAISOX 7350M', 'EVA TAISOX 7350', ' EVA ', 'TAISOX 7470M']",rule,18
787,COMMODITY LLDPE  TAISOX 3490 QUANTITY 50000 MTSUNIT PRICE 134000 USDMTTOTAL AMOUNT USD 6700000TERMS OF SHIPMENT FOB ANY PORT IN TAIWAN INCOTERMS 2010,TAISOX 3490,18,20210406.xlsx,"['TAISOX 3490', ' TAISOX ']",rule,18
788,PVC SUSPENSION RESIN  GRADE  S65S QTY 96 MT PACKED IN 25 KGBAG AT THE RATE OF USD 1650 PMTAS PER APPLICANT S PURCHASE ORDER NO 8411001617 DATED17MAR2021 AND BENEFICIARY PROFORMA INVOICE NO374782 DATED19MAR2021 TOLERANCE OF PLUS OR MINUS 5 PCT IS ALLOWED INQUANTITYINCOTERMS 2020  CIF NHAVA SHEVA INDIA,GRADE,11,20210406.xlsx,"[' GRADE ', ' RESIN ', 'PVC SUSPENSION RESIN']",rule,11
